year,month,seaice_extent
2012,3,0.31
2012,4,0.31
2012,5,0.3
2012,6,0.03
2012,7,0.0
2012,8,0.0
2012,9,0.0
2012,10,0.0
2012,11,0.12
2012,12,0.24
2013,1,0.3
2013,2,0.31
2013,3,0.31
2013,4,0.31
2013,5,0.27
2013,6,0.02
2013,7,0.0
2013,8,0.0
2013,9,0.0
2013,10,0.0
2013,11,0.03
2013,12,0.18
2014,1,0.28
2014,2,0.3
2014,3,0.31
2014,4,0.31
2014,5,0.05
2014,6,0.0
2014,7,0.0
2014,8,0.0
2014,9,0.0
2014,10,0.0
2014,11,0.03
2014,12,0.14
2015,1,0.21
2015,2,0.29
2015,3,0.3
2015,4,0.3
2015,5,0.17
2015,6,0.0
2015,7,0.0
2015,8,0.0
2015,9,0.0
2015,10,0.0
2015,11,0.02
2015,12,0.17
2016,1,0.21
2016,2,0.26
2016,3,0.3
2016,4,0.31
2016,5,0.04
2016,6,0.0
2016,7,0.0
2016,8,0.0
2016,9,0.0
2016,10,0.0
2016,11,0.03
2016,12,0.11
2017,1,0.21
2017,2,0.27
2017,3,0.28
2017,4,0.28
2017,5,0.04
2017,6,0.0
2017,7,0.0
2017,8,0.0
2017,9,0.0
2017,10,0.0
2017,11,0.01
2017,12,0.06
2018,1,0.18
2018,2,0.21
2018,3,0.21
2018,4,0.1
2018,5,0.0
2018,6,0.0
2018,7,0.0
2018,8,0.0
2018,9,0.0
2018,10,0.0
2018,11,0.01
2018,12,0.18
2019,1,0.25
2019,2,0.21
2019,3,0.15
2019,4,0.09
2019,5,0.0
2019,6,0.0
2019,7,0.0
2019,8,0.0
2019,9,0.0
2019,10,0.0
2019,11,0.04
2019,12,0.11
2020,1,0.24
2020,2,0.3
2020,3,0.3
2020,4,0.23
2020,5,0.16
2020,6,0.01
2020,7,0.0
2020,8,0.0
2020,9,0.0
2020,10,0.0
2020,11,0.01
2020,12,0.13
2021,1,0.26
2021,2,0.29
2021,3,0.29
2021,4,0.28
2021,5,0.19
2021,6,0.0
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,0.0
2021,11,0.11
2021,12,0.19
2022,1,0.29
2022,2,0.31
2022,3,0.31
2022,4,0.31
2022,5,0.07
2022,6,0.0
2022,7,0.0
2022,8,0.0
2022,9,0.0
2022,10,0.0
2022,11,0.03
2022,12,0.17
2023,1,0.28
2023,2,0.3
2023,3,0.3
2023,4,0.29
2023,5,0.25
2023,6,0.01
2023,7,0.0
2023,8,0.0
2023,9,0.0
2023,10,0.0
2023,11,0.02
2023,12,0.23
2024,1,0.27
2024,2,0.29
2024,3,0.3
2024,4,0.3
