date,seaice_extent
2023-11-09,8320.834546065187
2023-11-10,7703.03511524643
2023-11-11,6493.486749254175
2023-11-12,17352.82147815354
2023-11-13,19111.4951185538
2023-11-14,5367.481974681723
2023-11-15,20268.432358946422
2023-11-16,41673.83346461916
2023-11-17,9499.652086115704
2023-11-18,13693.32881747698
2023-11-19,9514.092612744264
2023-11-20,19049.506000246125
2023-11-21,24439.67563562533
2023-11-22,32107.54571518087
2023-11-23,36806.79693961892
2023-11-24,25050.557116270873
2023-11-25,26286.501519396603
2023-11-26,27482.03782397396
2023-11-27,32830.108864389564
2023-11-28,21538.69771313193
2023-11-29,30470.781372736914
2023-11-30,35785.01818921532
2023-12-01,40514.06908052802
2023-12-02,38151.34103470823
2023-12-03,45256.55967533737
2023-12-04,50649.040127016684
2023-12-05,48273.49651600561
2023-12-06,45300.30492622223
2023-12-07,61253.694819385695
2023-12-08,76274.40035878555
2023-12-09,85776.04199647366
2023-12-10,90541.89788893277
2023-12-11,116771.1887669935
2023-12-12,142309.53127080927
2023-12-13,149370.20802440017
2023-12-14,156431.54611675814
2023-12-15,175348.99493055063
2023-12-16,187139.4642302205
2023-12-17,191808.42562367863
2023-12-18,194208.09542411764
2023-12-19,201250.13964896637
2023-12-20,208288.10642495123
2023-12-21,212421.38031194452
2023-12-22,219476.00193021217
2023-12-23,225344.91797707925
2023-12-24,238240.2165710303
2023-12-25,246438.83901951928
2023-12-26,247628.4481780909
2023-12-27,251710.6095069835
2023-12-28,257557.38307823436
2023-12-29,258156.40920203525
2023-12-30,259915.65081582323
2023-12-31,252904.32962503145
2024-01-01,247633.19391628358
2024-01-02,245303.18099239797
2024-01-03,253479.4329158237
2024-01-04,259907.5635051218
2024-01-05,262843.6525345731
2024-01-06,263411.999620782
2024-01-07,258182.41754335852
2024-01-08,246535.62077076494
2024-01-09,237182.92915762123
2024-01-10,240086.67140175862
2024-01-11,236584.3527559832
2024-01-12,231897.2479674331
2024-01-13,229561.99137650031
2024-01-14,236611.3292307622
2024-01-15,218479.2658727745
2024-01-16,210291.63588028296
2024-01-17,221353.4270547541
2024-01-18,224222.52040497045
2024-01-19,235925.69567586455
2024-01-20,240056.935732861
2024-01-21,254052.4129402135
2024-01-22,255791.74844362325
2024-01-23,268030.51636529167
2024-01-24,266303.97913533053
2024-01-25,266884.5630206136
2024-01-26,275624.10683560855
2024-01-27,280295.5496988589
2024-01-28,284961.8908954795
2024-01-29,284961.8908954795
2024-01-30,285548.29460746073
2024-01-31,288457.22365530854
2024-02-01,294290.3144480958
2024-02-02,304766.50442595023
2024-02-03,291386.64771727956
2024-02-04,288478.5041884326
2024-02-05,290224.7160482222
2024-02-06,292555.3342036517
2024-02-07,289647.41889474564
2024-02-08,286147.6306113356
2024-02-09,285573.16220726736
2024-02-10,291394.76366960036
2024-02-11,294308.2244032043
2024-02-12,294890.11554549367
2024-02-13,298961.0048623463
2024-02-14,302449.2856543348
2024-02-15,296047.9601915151
2024-02-16,294882.5203689593
2024-02-17,297206.1482404951
2024-02-18,297792.1327958432
2024-02-19,292555.24542787776
2024-02-20,291972.1398633157
2024-02-21,295465.7857443971
2024-02-22,292562.3199619517
2024-02-23,286165.7226864988
2024-02-24,291986.79988986935
2024-02-25,294311.8402115749
2024-02-26,291397.94412279525
2024-02-27,290812.6333126637
2024-02-28,296053.85498622607
2024-02-29,298382.52803365036
2024-03-01,294884.2692567105
2024-03-02,290224.7160482222
2024-03-03,284978.00861640996
2024-03-04,283229.49281933566
2024-03-05,279731.254006855
2024-03-06,283233.3430037665
2024-03-07,285569.2821951778
2024-03-08,287891.02270318434
2024-03-09,289057.75834506284
2024-03-10,287888.07768821786
2024-03-11,289634.461849197
2024-03-12,288467.56352761
