date,seaice_extent
2025-01-18,509277.8612592709
2025-01-19,509277.8612592709
2025-01-20,509277.8612592709
2025-01-21,509277.8612592709
2025-01-22,509277.8612592709
2025-01-23,509277.8612592709
2025-01-24,509277.8612592709
2025-01-25,509277.8612592709
2025-01-26,509277.8612592709
2025-01-27,509277.8612592709
2025-01-28,509277.8612592709
2025-01-29,509277.8612592709
2025-01-30,509277.8612592709
2025-01-31,509277.8612592709
2025-02-01,509277.8612592709
2025-02-02,509277.8612592709
2025-02-03,509277.8612592709
2025-02-04,509277.8612592709
2025-02-05,509277.8612592709
2025-02-06,509277.8612592709
2025-02-07,509277.8612592709
2025-02-08,509277.8612592709
2025-02-09,509277.8612592709
2025-02-10,509277.8612592709
2025-02-11,509277.8612592709
2025-02-12,509277.8612592709
2025-02-13,509277.8612592709
