year,month,seaice_extent
2006,12,0.25
2007,1,0.48
2007,2,0.4
2007,3,0.63
2007,4,0.55
2007,5,0.3
2007,6,0.01
2007,7,0.01
2007,8,0.01
2007,9,0.01
2007,10,0.01
2007,11,0.03
2007,12,0.22
2008,1,0.43
2008,2,0.62
2008,3,0.73
2008,4,0.66
2008,5,0.44
2008,6,0.01
2008,7,0.01
2008,8,0.01
2008,9,0.01
2008,10,0.01
2008,11,0.11
2008,12,0.29
2009,1,0.56
2009,2,0.59
2009,3,0.63
2009,4,0.66
2009,5,0.31
2009,6,0.01
2009,7,0.01
2009,8,0.01
2009,9,0.01
2009,10,0.01
2009,11,0.15
2009,12,0.29
2010,1,0.48
2010,2,0.59
2010,3,0.69
2010,4,0.64
2010,5,0.41
2010,6,0.01
2010,7,0.01
2010,8,0.01
2010,9,0.01
2010,10,0.01
2010,11,0.03
2010,12,0.22
2011,1,0.46
2011,2,0.49
2011,3,0.52
2011,4,0.52
2011,5,0.28
2011,6,0.01
2011,7,0.01
2011,8,0.01
2011,9,0.01
2011,10,0.01
2011,11,0.13
2011,12,0.29
2012,1,0.58
2012,2,0.66
2012,3,0.73
2012,4,0.73
2012,5,0.45
2012,6,0.04
2012,7,0.01
2012,8,0.01
2012,9,0.01
2012,10,0.01
2012,11,0.17
2012,12,0.38
2013,1,0.46
2013,2,0.61
2013,3,0.62
2013,4,0.59
2013,5,0.36
2013,6,0.02
2013,7,0.01
2013,8,0.01
2013,9,0.01
2013,10,0.01
2013,11,0.04
2013,12,0.22
2014,1,0.31
2014,2,0.42
2014,3,0.49
2014,4,0.38
2014,5,0.05
2014,6,0.01
2014,7,0.01
2014,8,0.01
2014,9,0.01
2014,10,0.01
2014,11,0.03
2014,12,0.15
2015,1,0.25
2015,2,0.45
2015,3,0.45
2015,4,0.43
2015,5,0.2
2015,6,0.01
2015,7,0.01
2015,8,0.01
2015,9,0.01
2015,10,0.01
2015,11,0.03
2015,12,0.19
2016,1,0.23
2016,2,0.29
2016,3,0.37
2016,4,0.38
2016,5,0.05
2016,6,0.01
2016,7,0.01
2016,8,0.01
2016,9,0.01
2016,10,0.01
2016,11,0.04
2016,12,0.15
2017,1,0.29
2017,2,0.42
2017,3,0.52
2017,4,0.44
2017,5,0.04
2017,6,0.01
2017,7,0.01
2017,8,0.01
2017,9,0.01
2017,10,0.01
2017,11,0.02
2017,12,0.07
2018,1,0.21
2018,2,0.27
2018,3,0.24
2018,4,0.1
2018,5,0.01
2018,6,0.01
2018,7,0.01
2018,8,0.01
2018,9,0.01
2018,10,0.01
2018,11,0.01
2018,12,0.22
2019,1,0.32
2019,2,0.22
2019,3,0.16
2019,4,0.1
2019,5,0.01
2019,6,0.01
2019,7,0.01
2019,8,0.01
2019,9,0.01
2019,10,0.01
2019,11,0.05
2019,12,0.12
2020,1,0.35
2020,2,0.5
2020,3,0.52
2020,4,0.29
2020,5,0.16
2020,6,0.01
2020,7,0.01
2020,8,0.01
2020,9,0.01
2020,10,0.01
2020,11,0.02
2020,12,0.16
2021,1,0.34
2021,2,0.38
2021,3,0.38
2021,4,0.33
2021,5,0.2
2021,6,0.01
2021,7,0.01
2021,8,0.01
2021,9,0.01
2021,10,0.01
2021,11,0.15
2021,12,0.27
2022,1,0.5
2022,2,0.56
2022,3,0.53
2022,4,0.46
2022,5,0.07
2022,6,0.01
2022,7,0.01
2022,8,0.01
2022,9,0.01
2022,10,0.01
2022,11,0.04
2022,12,0.21
2023,1,0.38
2023,2,0.44
2023,3,0.43
2023,4,0.42
2023,5,0.29
2023,6,0.01
2023,7,0.01
2023,8,0.01
2023,9,0.01
2023,10,0.01
2023,11,0.02
2023,12,0.28
2024,1,0.37
2024,2,0.42
2024,3,0.49
2024,4,0.44
