time,seaice_extent
2023-11-02,192229.22864744175
2023-11-03,214367.18152477808
2023-11-04,229498.73923372876
2023-11-05,264769.21793996025
2023-11-06,262900.24154169305
2023-11-07,273625.82452383265
2023-11-08,309570.00258280075
2023-11-09,354121.68978108314
2023-11-10,373741.7216970293
2023-11-11,354337.07081561163
2023-11-12,360465.7007035465
2023-11-13,351519.28463799926
2023-11-14,336479.8421828855
2023-11-15,364897.520129773
2023-11-16,388768.2259091172
2023-11-17,398948.127885222
2023-11-18,401431.6201409229
2023-11-19,400170.9698238374
2023-11-20,405168.3105841482
2023-11-21,388158.5653629503
2023-11-22,389930.5897688353
2023-11-23,386206.4031955635
2023-11-24,396765.8220147805
2023-11-25,399893.30137089593
2023-11-26,402380.94626183575
2023-11-27,404276.21940053964
2023-11-28,401824.2653878136
2023-11-29,404359.7680072727
2023-11-30,410648.3825424543
2023-12-01,421195.444870055
2023-12-02,431851.50149709004
2023-12-03,434949.83433070435
2023-12-04,444292.80504878797
2023-12-05,447462.7039083523
2023-12-06,444355.26790046727
2023-12-07,451710.25270647084
2023-12-08,460366.8365294095
2023-12-09,473356.3064826387
2023-12-10,491418.6888606472
2023-12-11,505613.474897462
2023-12-12,509902.7868752425
2023-12-13,511126.856559928
2023-12-14,511126.856559928
2023-12-15,511126.856559928
2023-12-16,511126.856559928
2023-12-17,511126.856559928
2023-12-18,511126.856559928
2023-12-19,511126.856559928
2023-12-20,511126.856559928
2023-12-21,511126.856559928
2023-12-22,511126.856559928
2023-12-23,511126.856559928
2023-12-24,511126.856559928
2023-12-25,511126.856559928
2023-12-26,511126.856559928
2023-12-27,511126.856559928
2023-12-28,511126.856559928
2023-12-29,511126.856559928
2023-12-30,511126.856559928
2023-12-31,511126.856559928
2024-01-01,511126.856559928
2024-01-02,511126.856559928
2024-01-03,511126.856559928
2024-01-04,511126.856559928
2024-01-05,511126.856559928
2024-01-06,511126.856559928
2024-01-07,511126.856559928
2024-01-08,511126.856559928
2024-01-09,511126.856559928
2024-01-10,511126.856559928
2024-01-11,511126.856559928
2024-01-12,511126.856559928
2024-01-13,511126.856559928
2024-01-14,511126.856559928
2024-01-15,511126.856559928
2024-01-16,511126.856559928
2024-01-17,511126.856559928
2024-01-18,511126.856559928
2024-01-19,511126.856559928
2024-01-20,511126.856559928
2024-01-21,511126.856559928
2024-01-22,511126.856559928
2024-01-23,511126.856559928
2024-01-24,511126.856559928
2024-01-25,511126.856559928
2024-01-26,511126.856559928
2024-01-27,511126.856559928
2024-01-28,511126.856559928
2024-01-29,511126.856559928
2024-01-30,511126.856559928
2024-01-31,511126.856559928
2024-02-01,511126.856559928
2024-02-02,511126.856559928
2024-02-03,511126.856559928
2024-02-04,511126.856559928
2024-02-05,511126.856559928
2024-02-06,511126.856559928
2024-02-07,511126.856559928
2024-02-08,511126.856559928
2024-02-09,511126.856559928
2024-02-10,511126.856559928
2024-02-11,511126.856559928
2024-02-12,511126.856559928
2024-02-13,511126.856559928
2024-02-14,511126.856559928
2024-02-15,511126.856559928
2024-02-16,511126.856559928
2024-02-17,511126.856559928
2024-02-18,511126.856559928
2024-02-19,511126.856559928
2024-02-20,511126.856559928
2024-02-21,511126.856559928
2024-02-22,511126.856559928
2024-02-23,511126.856559928
2024-02-24,511126.856559928
2024-02-25,511126.856559928
2024-02-26,511126.856559928
2024-02-27,511126.856559928
2024-02-28,511126.856559928
2024-02-29,511126.856559928
2024-03-01,511126.856559928
2024-03-02,511126.856559928
2024-03-03,511126.856559928
2024-03-04,511126.856559928
2024-03-05,511126.856559928
2024-03-06,511126.856559928
2024-03-07,511126.856559928
2024-03-08,511126.856559928
2024-03-09,511126.856559928
2024-03-10,511126.856559928
2024-03-11,511126.856559928
2024-03-12,511126.856559928
2024-03-13,511126.856559928
2024-03-14,511126.856559928
2024-03-15,511126.856559928
2024-03-16,511126.856559928
2024-03-17,511126.856559928
2024-03-18,511126.856559928
2024-03-19,511126.856559928
2024-03-20,511126.856559928
2024-03-21,511126.856559928
2024-03-22,511126.856559928
2024-03-23,511126.856559928
2024-03-24,511126.856559928
2024-03-25,511126.856559928
2024-03-26,511126.856559928
2024-03-27,511126.856559928
2024-03-28,511126.856559928
2024-03-29,511126.856559928
2024-03-30,511126.856559928
2024-03-31,511126.856559928
2024-04-01,511126.856559928
2024-04-02,511126.856559928
2024-04-03,511126.856559928
2024-04-04,511126.856559928
2024-04-05,511126.856559928
2024-04-06,511126.856559928
2024-04-07,511126.856559928
2024-04-08,511126.856559928
2024-04-09,511126.856559928
2024-04-10,511126.856559928
2024-04-11,511126.856559928
2024-04-12,511126.856559928
2024-04-13,511126.856559928
2024-04-14,511126.856559928
2024-04-15,511126.856559928
2024-04-16,511126.856559928
2024-04-17,511126.856559928
2024-04-18,511126.856559928
2024-04-19,511126.856559928
2024-04-20,511126.856559928
2024-04-21,511126.856559928
2024-04-22,511126.856559928
2024-04-23,511126.856559928
2024-04-24,511126.856559928
2024-04-25,511126.856559928
2024-04-26,511126.856559928
